[00:02] 哈囉 大家好安因為剛剛電腦非常delay
[00:06] 所以再找一下原因好 那如果等一下播到一半當機的話
[00:11] 大家就知道是怎麼回事了
[01:02:02] agent在做不同的事情。
[01:02:05] 我們把那個叫Session,
[01:02:07] Session,Session是說它好幾個不同的Session
[01:02:10] 在做事情,所以變成是它們在燒的用量就很可怕。
[01:02:15] 可是像如果一般工作,就比如說一般工作,
[01:02:19] 我覺得像這個,
[01:02:23] 我的OpenAI是690,一般工作的話,
[01:02:26] 690的話,就是你一般連續工作大概兩三個小時,
[01:02:33] 我覺得就差不多了。
[01:02:34] 就一個Session,一個對話,
[01:02:37] 就一個工作,大概2、3個小時,
[01:02:39] 5個小時的量應該就用完。
[01:02:41] 像我今天做蠻多事情,
[01:02:43] 我的Codex我有把5個小時的量用完。
[01:02:48] 但是就覺得還不錯啊,並不會到說非常快用完,
[01:02:52] 所以我的體感上是OK的。
[01:02:57] 所以我覺得目前來講大家覺得你要評
[01:03:03] 價的Aging現在就是從這個地方開始。
[01:03:06] 然後5.5蠻聰明的。
[01:03:08] 我認真講,因為我最近幾天都在用Codex。
[01:03:12] 我覺得5.5沒有比Claude笨耶。
[01:03:15] 我認真講。
[01:03:15] 我就看他說我覺得GPT5.5蠻聰明的耶。
[01:03:20] 他沒有輸Claude的,我覺得沒有輸Claude。
[01:03:22] 所以大家可以。
[01:03:23] 所以我才說從5.5出來之後,
[01:03:26] 我覺得大家C
[01:03:27] odeOddars可以用起來,
[01:03:29] 就是這個方案。
[01:03:30] 先用起來,月付不要買每年的。
[01:03:33] 這個3300我覺得是工程師等級的啦。
[01:03:40] 好,我來看一下很多人開很多A群桌子,
[01:03:43] 每個都不同的功能要怎麼設定。
[01:03:45] 好,呂小龍,我跟你講,這個東西叫做,
[01:03:48] 我們在Claude Code裡面,
[01:03:52] 就是你要去做那個專案,
[01:03:53] 那個專案的藍圖要怎麼跑,
[01:03:55] 要做什麼事情。
[01:03:57] 在那個檔案夾裡面會有一個東西是專門記錄這件事情。
[01:04:00] 在Claude裡面叫做Claude.md,
[01:04:03] 在Codex裡面叫做agents.md。
[01:04:06] 這兩個東西是一樣的事情。
[01:04:09] 我在做這個專案的時候,
[01:04:12] 他在做之前會先去讀。
[01:04:14] 在Claude Code裡面,他會先去讀Claude.md,
[01:04:17] 在Codex裡面他會先去讀agents.md,
[01:04:20] 他就會知道說我這個專案要做什麼事情。
[01:04:23] 可是他讀這些內容進去是會消耗掉context
[01:04:26] 的。就是你的對話的上下文。
[01:04:29] 所以這東西也不能夠無限量膨脹。
[01:04:32] 所以我覺得在AI Agent時代,
[01:04:34] 反而大家開始學會說,你要怎麼樣有效率的去控制對話
[01:04:37] 跟做事情。
[01:04:38] 除非你很有錢,就是都用這種三千多塊的,
[01:04:43] 你就不太需要管用量。
[01:04:45] 如果你想要節省用量,你確實是要稍微去控制一下你那
[01:04:49] 些內容跟對話。
[01:04:50] 因為如果像你的那些,你的Claude.md或是Agent.md
[01:04:54] 裡面的內容非常多,
[01:04:56] 他讀一次就會把上下文都用得差不多。
[01:04:58] 那你上文用完之後,他就會變得比較沒效率。
[01:05:01] 所以上下文是指的是這個。
[01:05:04] 在你的Codex這邊,
[01:05:07] 會有一個上下文視窗有沒有看到?
[01:05:09] 現在我們在Edge裡面都會有一個視窗是顯示上下文視
[01:05:13] 窗。Codex也有壓縮機,
[01:05:14] 它會自動壓縮。
[01:05:15] 或是你斜線Compat它就會壓縮。
[01:05:17] 因為上線都會自動壓縮。
[01:05:19] Claude Code也會自動壓縮。
[01:05:22] Claude Code也會自動壓縮,
[01:05:24] 快到的時候它會自動壓縮,
[01:05:26] 可是壓縮的話它會把它精簡,
[01:05:28] 因為上面很多對話只會壓縮成重點紀錄。
[01:05:33] 所以在5.5裡面它的上下文是25萬,
[01:05:36] 我覺得還行,一般都是20萬,
[01:05:40] 那100萬的話不見得好,
[01:05:41] 有時候東西一多也是會亂。
[01:05:44] 所以你的上下文視窗也是要稍微控制一下。
[01:05:48] 如果說你無限量的,比如說很浪費的用量是說,
[01:05:53] 你未可以打很多資料,你這些資料都沒有經過萃取,
[01:05:57] 你就是用很多的原始資料,
[01:05:59] 用很多資料,然後叫他督完一大堆資料去做事情,
[01:06:03] 那就會變成是很浪費用量。
[01:06:05] 所以如果說你想要節省一點的話,
[01:06:08] 你可能要用比較便宜的模型,
[01:06:13] 去先處理資料。
[01:06:14] 比如說,你在Claude Code裡面用最便宜的模型,
[01:06:17] 先去把那一大量、一大串的資料先整理好。
[01:06:21] 整理出重點來之後,你有了重點之後,
[01:06:25] 再用比較聰明的模型去做你接下來要做的事情。
[01:06:29] 比如說寫程式來講,顯示的話Codex比較厲害,
[01:06:32] 顯示你就叫Codex。
[01:06:33] 比如說你要做一些專案的規劃是比較騷腦的那種,
[01:06:36] 可能就是叫Claude來寫。
[01:06:38] 那不同的工作,你用不同的AI的模型去處理。
[01:06:43] 所以最忌諱的是你給他一大串的文件資料,
[01:06:47] 然後叫他用最聰明模型去讀,
[01:06:48] 這樣就很浪費。
[01:06:50] 所以你這樣就沒有省到Token。
[01:06:51] 所以如果說你們要節省Token的話,
[01:06:53] 你們可能要學著說,我在不同的模型之間,
[01:06:57] 你要去切換什麼模型做什麼事情比較好。
[01:06:59] 然後你等一下去控制這個上下文視窗,
[01:07:02] 盡量不要每次都處在一種爆掉,
[01:07:04] 快爆掉快爆掉的狀態。
[01:07:07] 那你在快爆掉的狀態下,
[01:07:09] 他在工作的時候,他的原理是他每一次都會重讀,
[01:07:13] 以便這個視窗全部的文字就會很浪費Token。
[01:07:17] 上下文你這邊一直是屬於爆掉的狀況下,
[01:07:23] 它就會很浪費Token。
[01:07:24] 所以為什麼有人說開心視窗會很節省Token?
[01:07:28] 是因為開心的視窗它的上下文就很少。
[01:07:30] 那你每一次在跑的時候,
[01:07:32] 你跑一次上下文就會浪費掉Token。
[01:07:35] 所以當你的上下文很多,
[01:07:37] 然後你又沒有一次把要做事情交代完,
[01:07:40] 你一次就只做一小件事,
[01:07:41] 一小件事。他每次對話就是會全部重讀一次上下文。
[01:07:46] 那你全部重讀上文就會很浪費Token。
[01:07:50] 大家了解為什麼會浪費Token?
[01:07:53] 所以你們在使用上,你要去知道說,
[01:07:57] 他這個原理是這樣。
[01:07:58] 當你上下文視窗量很大的時候,
[01:08:01] 你每次叫他重新對話,再對話對話,
[01:08:03] 就會用掉大量的Token。
[01:08:07] 寫成四話用Codex。
[01:08:10] 那小蠶貓你的作法跟
[01:08:15] 我的作法是很像的。
[01:08:16] 我一定是會把精華的筆記寄到我的Obsidian
[01:08:21] 裡面去。
[01:08:21] 所以當我在開一個新的Session做同一個專案的時候,
[01:08:25] 我會請他去讀筆記。
[01:08:27] 那筆記的內容就是經練過的內容,
[01:08:29] 就是我上次坐到哪邊,然後踩過哪些坑,
[01:08:31] 就是已經經練過。
[01:08:32] 所以那些中間那些複雜的對話就會不見。
[01:08:35] 所以你開一個新對話,
[01:08:37] 去讀筆記的重點,
[01:08:39] 然後接下來他也去讀你的資料夾裡面的Claude.md
[01:08:44] 或是Agents.md他就知道說上市中央哪邊,
[01:08:48] 但是可以用掉很少的上下文這樣子的話Token
[01:08:51] 數量就會造得很慢好,那這個的話是屬於比較進階的技
[01:08:55] 巧那之後我可能會有影片會專門講這件事情但今天有人
[01:08:59] 問我就講了好,再來啊,
[01:09:08] 東西做好,看一下。
[01:09:10] 手機可以操作桌上版的Cortex,
[01:09:12] 可以,我常常這麼做。
[01:09:14] 好,我給這個Jordan,Jordan,
[01:09:16] UserJordan168一個建議。
[01:09:18] 就是我自己是有裝這個,
[01:09:20] 裝這個叫做DexIn。
[01:09:25] DexIn,這免費的,
[01:09:28] 就是我的手機是可以連回我的
[01:09:31] 電腦。這是一個我覺得很好用的方式,
[01:09:34] 我也分享給大家,這個是我從來沒講過的,
[01:09:37] 但是有人問,我覺得真正聰明的做法,
[01:09:40] 我自己覺得,真聰明的做法是這樣子,
[01:09:42] 這個是桌面遠端的桌面軟體。
[01:09:46] 真聰明的做法是,我現在這台電腦我永遠不關機,
[01:09:49] 你們現在看到我直播這台電腦是我的工作的桌機,
[01:09:52] 就是我直播的這一台。
[01:09:53] 它是有3D加速卡,它是硬體配備比較好的機器,
[01:09:56] 那這一台它是永遠不關機放在家裡面,
[01:09:58] 這一台我是不帶出門。
[01:10:00] 你們現在看到的這一台,
[01:10:01] 我是不帶出門的,那它也不關機。
[01:10:03] 那我在工作的時候啊,我不管用什麼電腦,
[01:10:07] 我用別台電腦,我會遠端連回來這邊工作。
[01:10:10] 那我用手機,我也可以連回來這邊工作。
[01:10:12] 手機連回來就是看到這個畫面。
[01:10:15] 它就連回來,那你只要打字,
[01:10:16] 它在上面它就會工作。
[01:10:18] 你知道這個好處是什麼你知道嗎?
[01:10:20] 好處是你叫它工作完之後,
[01:10:21] 比如說你在上面打完字,
[01:10:23] 說你要做什麼做什麼,你交代大概10件事情。
[01:10:25] 做完之後它就會自動去跑。
[01:10:28] 你遠端操控的電腦你可以關機,
[01:10:31] 你手機可以關掉。
[01:10:33] 它是在家裡面這台電腦跑AI的程式,
[01:10:37] 它就是在這邊跑。
[01:10:39] 對,所以我也是這樣工作,
[01:10:41] 我這台電腦我是不關機,
[01:10:42] 我常常連回來這邊工作。
[01:10:44] 就是我跟他說我要做什麼事情,
[01:10:45] 我就連回來,那我就遠端連進來,
[01:10:47] 然後開始。好,你要做什麼事情,
[01:10:50] 做完之後我就去做我的事情。
[01:10:52] 他在這邊他是會自己跑的。
[01:10:55] 遠端連接來電腦可以關機沒關係,
[01:10:57] 我可以去做其他事情。
[01:10:59] 他這邊還是會繼續跑。
[01:11:00] 那跑完的內容在哪邊呢?
[01:11:02] 各位,你還記得我所有的工作資料夾,
[01:11:05] 只要是產出檔案,我都是用Google雲端硬碟。
[01:11:07] 所以我產出來的內容,我再有另外一台電腦的
[01:11:10] Google雲端硬碟也全部都收得到。
[01:11:13] 然後再來就是我的程式,
[01:11:15] 我都是放到GitHub上面去嘛。
[01:11:18] 所以我GitHub上面去,我就是有網址,
[01:11:20] 我也有網址啊。
[01:11:21] 所以他做好內容,我在網址上我也可以直接開啊。
[01:11:23] 然後再來我所有的筆記,
[01:11:25] Obsidian筆記也是全部都同步啊。
[01:11:27] 所以我在這台電腦上面所有的工作,
[01:11:29] 我在另外一台電腦上面全部都會同步收到結果。
[01:11:33] 也就是說,家裡面這一台就是我的手動的龍蝦。
[01:11:37] 但是我會用遠端多面軟體連回來這邊工作。
[01:11:41] 我的手機上面也有裝,我的手機會連回來這邊工作。
[01:11:44] 有時候我臨時想要做什麼事情,
[01:11:46] 我就用手機連回來。
[01:11:47] 那我隨機點我打完之後,
[01:11:48] 它就開始工作嘛,我就蓋起來。
[01:11:50] 然後過一段時間再回來看它做好了沒有。
[01:11:52] 這樣子。我
[01:11:53] 現在就已經是這樣子用了,
[01:11:56] 有回答到Jodan168的疑問嗎?
[01:12:02] 好,今天給大家問好問飽啊,
[01:12:05] 差不多了吧?
[01:12:07] 我本來要示範很多功能的,
[01:12:09] 但是Claude Code當掉就算了,
[01:12:12] 就回答大家問題。
[01:12:16] 今天大概回答30題吧。
[01:12:26] 可以啦,可以,推薦你啊,
[01:12:27] dexin這個軟體,免費就很好用。
[01:12:31] 我還連回來這台電腦剪片,
[01:12:34] 我覺得遠端連回來剪片。
[01:12:37] 這個軟體我覺得很好用,
[01:12:38] 蠻順的,免費,免費,
[01:12:42] 我覺得蠻順的。
[01:12:43] 我連回這台電腦剪片是新的通常。
[01:12:47] 做這個Claude Code是很簡單。
[01:12:55] 可惜啊,我的Claude Code,
[01:12:57] 不曉得為什麼,我今天直播就出問題。
[01:13:00] 沒關係,小蠶貓下次吧。
[01:13:01] 小蠶貓是高手啊,你來我這邊學什麼呢?
[01:13:04] 應該是你來分享一下吧。
[01:13:09] 好看一下我給個回饋吧
[01:13:14] 來還有問題嗎?
[01:13:14] 最後一個問題生
[01:13:37] 存影片嗎?
[01:13:38] 生存影片是Seedance吧?
[01:13:40] Seedance的話,目前成本還是太高了,
[01:13:45] 所以我覺得生存影片要等到成本低到可以普
[01:13:50] 遍使用的時候,我覺得才有辦法好好的來去講生存影片。
[01:13:54] 現在生存影片的成本都太高了。
[01:13:59] 小蠶貓,我做很多的東西啦,
[01:14:02] 其實我做很多東西,但因為我是做教育相關的。
[01:14:04] 我本來今天要展示兩款遊戲,
[01:14:06] 我自己做的遊戲,我覺得很厲害。
[01:14:10] 然後我看一下我要展示什麼?
[01:14:12] 我要展示用收到的檔案去做很多事情。
[01:14:18] 沒關係啦,就再說吧。
[01:14:21] 那有些使用的小技巧是,
[01:14:23] 我覺得應該是大家會殊途同歸吧?
[01:14:25] 因為大家遇到的困難都是一樣的。
[01:14:29] 遇到困難是說,比如說,
[01:14:31] 我要不同電腦間要同步工作。
[01:14:34] 我覺得我也遇到好多困難,
[01:14:38] 我也是都在想辦法解決。
[01:14:41] 好,來請大家幫我添一下回饋好不好?
[01:14:44] 今天來的就添一下回饋吧。
[01:14:46] 你們添回饋我才知道說這個內容對大家有沒有
[01:14:53] 用。
[01:14:54] 小克嗎?
[01:15:00] 家裡面有網路那不行啦,
[01:15:02] 沒辦法處理家裡面有網路。
[01:15:06] 筆記本的話就是Obsidian。
[01:15:08] Obsidian本身就是一個殼而已。
[01:15:13] 因為它的檔案格式就是Markdown格式。
[01:15:16] 基本上你以後有別的筆記軟體它還可以開。
[01:15:18] 所以Obsidian它只是一個殼而已。
[01:15:21] 小克怎麼做出來的?
[01:15:22] 之後再分享吧。
[01:15:24] 小克是可以開我的
[01:15:29] 簡報出來,然後他直接在我的簡報上面跑
[01:15:33] 圖跟HTML做回應。
[01:15:37] 下次我再跟大家說。
[01:15:38] 今天來不及。
[01:15:41] 然後再來,龍蝦會不小心刪除檔案在Claude
[01:15:43] Code、Codex、本地段是否容易避免?
[01:15:46] 在Claude Code跟Codex裡面,
[01:15:48] 因為它是官方的agent,
[01:15:51] 所以原則上安全機制它做得很好。
[01:15:54] 所以像你需要刪除本地段檔案,
[01:15:55] 它會再三跟你確認。
[01:15:56] 那龍蝦的話,它是主要比較開放的
[01:16:00] agent,所以變成是所以是比較開放A
[01:16:04] 群的話,會變成是你可能就是在某些狀況下會誤刪,
[01:16:09] 這是有可能的。
[01:16:10] 一開始怎麼學Obsidian?
[01:16:13] 不用學啊。
[01:16:14] 周如老師,我本人沒有在Obsidian上面打過一個字。
[01:16:19] 你用嘴巴跟A群對話來去寫你的筆記本,
[01:16:23] 我一個字都沒打過。
[01:16:25] 在我的Obsidian我一個字都沒打過。
[01:16:27] 我的筆記我自己一個字都沒打過。
[01:16:28] 所以你在使用上,它本質上就是,
[01:16:33] 本質上就是你用說話的方式來建立筆記本就好了。
[01:16:39] 用過愛瑪士蝦嗎?
[01:16:41] 沒有欸。沒有。
[01:16:42] 我沒有Mac,
[01:16:45] 所以我一直都沒有裝龍蝦。
[01:16:48] 因為龍蝦在Mac上面會比較好一點。
[01:16:54] OK好,差不多了,今天已經超時了。
[01:16:58] 我們差不多了
[01:16:59] 好不好。
[01:17:06] 好,Manus我不方便評價
[01:17:08] 啦。
[01:17:08] OpenAI
[01:17:12] 的生圖要加入基本會員,
[01:17:14] 什麼意思?
[01:17:16] 沒有啊,生圖的話有兩種,
[01:17:18] 一種是基本會員生圖,一種
[01:17:20] 是API生圖。
[01:17:20] 就是API深度。
[01:17:21] 那不管怎樣兩種都要錢。
[01:17:22] 那你用免費版本也可以啦,
[01:17:24] 一天三張吧。
[01:17:32] 好,謝謝小殘貓的回饋。
[01:17:35] 我目前使用Claude Code、
[01:17:37] 桌面板跟Codex,我覺得就非常夠用。
[01:17:40] 百分之九十幾的事情都能夠完成。
[01:17:43] 那需要遠端操控的話就是用遠端桌面回來做事情。
[01:17:48] 那有些固定要做的事情就是排程嘛。
[01:17:51] 雲端排程、本地排程其實都可以啦。
[01:17:53] 那大猶者是龍蝦能做的事其實都能做啦。
[01:17:57] 沒有差很多。
[01:18:06] 來大家還有問題嗎?
[01:18:07] 對Agin?沒問題的話我們今天直播就到這邊啦。
[01:18:11] 那影片的話會放回放,但是因為我中間有
[01:18:15] 有當調所以可能沒有那麼精彩吧。
[01:18:21] 大家就將就看看吧。
[01:18:23] 好吧。
[01:18:24] 就先這樣咯。
[01:18:25] 那我們下期再見。
[01:18:26] 大家晚安。
[01:18:27] 拜拜。
