[00:00] OpenCode基本功第四集。
[47:27] 好!這樣有回答小優的問題嗎?
[47:29] 那Open Code你是看不到啦?
[47:30] 因為他現在是在背景跑。
[47:32] 所以工作區建好了。
[47:34] 好!謝謝小優DNate。
[47:36] 感謝你。小優不要一直DNate啦!
[47:38] 看起來不容易。
[47:39] 好!所以像這邊是這個是Gas.偷偷看一下來派工。
[47:42] 這邊沒有它沒有派。
[47:44] 我還沒有派到欸。
[47:46] 還在跑。
[47:46] 好吧,就這樣吧。
[47:48] 今天超時了。
[47:49] 所以今天的影片大家學到了如何申請了這個如何使用
[47:54] OpenCode去搭建你的本地模型。
[47:57] 然後如何使用OpenCode去拿取免費的API
[48:01] Key來去使用。
[48:03] 然後今天你也學到使用Claude Code去派工給
[48:06] OpenCode的Claude使用免費近乎無限的額度來去做出
[48:11] 工，指揮你的 AI 大軍。
[48:13] 所以今天這一集算是
[48:14] 含金量爆到一個極致。
[48:17] 所以我看到的都是有緣啦。
[48:20] 今天就到這邊了好不好,
[48:21] 我們就不等它跑完。
[48:23] 我上禮拜有實作過是可惜的。
[48:25] 就是大家,你把這個概念,
[48:26] 你把這個影片,最後這個影片我會剪輯成精華影片。
[48:32] 你直接把影片網址丟給你的agent。
[48:34] 好,謝謝Toby donate。
[48:36] 你直接把這個影片的字幕丟給你的agent。
[48:39] 你的agent就會知道要做什麼。
[48:40] 好,我就今天不給repo了。
[48:42] 因為上午我是有這個repo,
[48:43] 但是我還在整理。
[48:44] 好!我的說明應該夠清楚齁。
[48:47] 你的A群會讀懂我的說明。
[48:49] 所以小優已經在派工了。
[48:51] 好啦!
[48:52] 我們今天的影片就到這邊了。
[48:54] 如果你想要關注更多AIA群在教學上應用的話,
[48:58] 請訂閱按讚還有分享喔!
[48:59] 我們下見!
[49:00] 掰掰!欸!
[49:02] 跑出來了!跑出來了!
[49:03] 跑出來!
[49:05] 好!這個時候我要下播了才跑出來!
[49:07] 好!所以他現在背景已經糟糕了!
[49:09] 你看到嗎?
[49:11] 唉可惡 我要下撥人吵出來
[49:13] 好吧 那我們就等吧
[49:15] 我就不講話 我們就等吧所以大家有看到嗎
[49:19] 就是 就不會那麼燒掉我的token
[49:21] 了那我只是簡單示範而已
[49:22] 啦你要節省的話就是你要大量派工
[49:25] 啦大量派
[49:26] 工那我的我的OpenCode
[49:27] 給大家看一下我OpenCode的
[49:29] 用量我這個月還沒用完這個月的用量還有
[49:33] 15天還有
[49:33] 15天我覺得
[49:35] 很很額度實在太多
[49:37] 了如果你都用Deepseek V4 Flash的話
[49:39] 基本上是幾乎是無線
[49:41] 就算它是量化模型你只要把規格寫好它再跑基本上百
[49:46] 分之八九十是蠻可靠
[49:47] 的所以我不知道欸我覺得這個太划算
[49:50] 了OpenGo方案實在太
[49:51] 划算所以如果你也想要有那個那個那個A群大群的話好不好
[49:55] 用免費的API Key加上這個OpenGo方案原上你應該就有
[49:59] 無限量的Token來去做出貨OK
[50:03] 大家沒有什麼問題
[50:04] 那因為我只叫它做兩個而已啦
[50:06] 實際上應該是要叫它一次派整冊
[50:08] 我有一次就直接叫他開7個試裝同時做直接開
[50:13] 7個試裝同時
[50:14] 跑所以就是7倍的速度可以可以
[50:16] 好我回答一下MHSCHUNG可以
[50:20] 可以啦但是你可能要跟你的agent討論一下
[50:23] 就是要做
[50:24] 所以比如說你要把特定畫面進行馬賽克處理的話代表
[50:27] 這個是隱私資
[50:28] 料嘛不想要上雲端
[50:29] 的所以隱私資料我們要做處理的話一定是使用本地模
[50:33] 型那你本地模型要怎麼做
[50:35] 你可能要先用聰明的雲端模
[50:37] 型先寫好作法或是先規劃好作法然後把這個作法再丟
[50:42] 給Gemma 4 12B然後讓他造成這個作法的事情那中間過程你
[50:45] 可能需要修正很多次那找到一個可行的工作流那固定
[50:49] 下來之後接下來你就可以沒日沒夜24小時利用本地端
[50:53] 的這個5060Ti 16G去幫你就是無限的一直做設議
[50:58] 所以你的Gemma 4 12B裝在OpenCode裡面是很大的就是可以
[51:03] 的唉呀我想要下播了我
[51:06] 直播開這麼晚大家不會很討厭嗎?
[51:09] 因為我直播都9點開是因為可能7點、
[51:12] 8點大家可能會有家庭時間嘛。
[51:14] 要不然就是有時候別的老師們也有開一些研究。
[51:19] 比如說像阿亮校長練功方可能就是開
[51:23] 8點到9點。
[51:24] 所以我盡量就是不要去衝到其他老師們的時間。
[51:29] 因為像大家很累啦。
[51:30] 所以我一般我都是9點過。
[51:32] 那如果你沒看到的話也沒關係。
[51:34] 回放吼會有回
[51:36] 放。好啦 就這樣啦。
[51:37] 不等啦 不等啦。
[51:37] 是可以做的齁。時間剛好是嗎?
[51:39] 夜貓族。
[51:40] 你們這些都是夜貓族。
[51:41] 那麼晚還不睡覺。
[51:42] 好想要看他跑完的樣子。
[51:44] 已經五分鐘了。
[51:45] 我知道了他剛剛正在寫計畫。
[51:46] 他剛剛跑那麼久是他在寫計畫。
[51:48] 然後寫計畫派給OpenCodeCli.去幫我回報一下目前的
[51:52] 進度如何。
[51:52] 那他也是在等你知道嗎?
[51:54] ClaudeCode是在等。所以你會發現我的這個都太動了。
[51:56] 所以凱希老師還在算命啊。
[51:58] 我的直播大部分都有回放啦。
[51:59] 所以變成是很多人沒有現場看也沒關係就看回放就好。
[52:04] 因為我看很多影片那個
[52:05] 後段的影片。後台的觀看知數也都蠻多的。
[52:08] 所以大家也是都去看回放,
[52:10] 不一定要。所以他去看了一下說沒有東西。
[52:13] 你有沒有發現就是,你那個OpenCode呢,
[52:16] 他在跑東西你是可以不用管他。
[52:18] 就是反正就是由Claude Code去管他就好了。
[52:21] 就是這個概念。
[52:22] 好,那這邊小技巧就是,
[52:23] PUIN的話就是它會有,比如說OpenCode不是會回答問題
[52:27] 說,他會問你說,你要這樣嗎?
[52:29] 你要這樣嗎?那他這邊就有加一個Format的等,
[52:32] 就是會卡塞那個,就是他要你回答問題。
[52:35] 他就會直接把它做完。
[52:36] 這樣才不會有問題。
[52:38] 好啦,就這樣。
[52:38] 不等了不等了。
[52:39] 我們下播了。
[52:40] 好,大家玩。
[52:41] 拜拜。拜拜。
[52:41] 拜拜。
