[00:02] 哈囉今天要來講第十集
[56:48] 丟給 claude.md他就會照我今天影片的那種
[56:52] 去幫你規劃這個 ai 實在就是這樣子
[56:54] 你把我的影片給 claudecode
[56:57] 他就會知道怎么做好
[56:58] 所以你看哦他就幫我把這些事情全部做好了
[57:03] 哦好然後接下來我跟他講說
[57:05] 哦上網找軍艦奇然後這樣這樣這樣這樣
[57:08] 好然後接下來我就開始跟他不斷對話
[57:10] 來各位就開始不斷對話
[57:11] 因為專案就這樣專案一直做一直做
[57:14] 然後好不容易做完之後踩什么坑
[57:16] 你看哎做一件事情是非常不容易的
[57:20] 就是一個專案你要做很多很多的對話
[57:22] 一直不斷的對話對話大量的對話
[57:25] 你才有辦法把一件事情做好
[57:26] 所以當我把這件事做好之後
[57:28] 踩過的坑什么的全部做好之後
[57:31] 你看內容有这么多哎你自己看一下
[57:34] 我滑了这么多所以你的上下文會爆掉
[57:37] 是有原因是因為你要做一個專案
[57:41] 沒有那么容易哦所以你看哦
[57:42] 全部做好之後接下來最後最後
[57:45] 最後最後做完之後我會跟他做一個
[57:48] 來來你看好來來你看
[57:49] 我跟他說好告個段落為此專案建立所有內容
[57:57] 那我現在我現在把這個告個段落
[58:00] 為此專案建立所有內容我把它做成一個skill
[58:04] 你只要打收工他就會幫你做好所有的東西
[58:07] 來來你看你看啊這他自動幫我做這些事情
[58:11] 你自己看我跟他說啊做完了
[58:13] 好我們就今天就做到這邊了
[58:15] 或者我跟他講說收工了
[58:17] 他就會自動幫我把那個google drive裡面的
[58:20] claude.md完整的專案總覽實戰數據
[58:22] 跟9條踩坑精華哦
[58:24] 然後在obsidian裡面有進度架策
[58:29] 呃架構決策實際觀察哦踩坑記錄
[58:32] 還有github裡面我把這個18d 3823 commit
[58:39] 而且push好他會同時把我這些事情全部都做好了
[58:44] 接下來我這個對話是不是就到這邊就結束了
[58:47] 這樣有沒有看到哦專案告個段落
[58:51] 線上可直接課堂使用下一款遊戲要做什麼主題呢
[58:55] 好做到這邊之後這是我的筆電哦各位
[58:57] 你們現在看到的畫面是我筆電哦
[58:59] 我現在我現在切回來我的畫面哦
[59:01] 好我現在把筆電畫面切掉
[59:04] 好接下來是到我的桌機
[59:06] 我的桌機我一樣開了一個新對話
[59:09] 之後我跟他說專案繼續
[59:11] 他就會自動幫我把上一個專案做好的事情
[59:15] 全部讀進來接下來我就可以在這個對話裡面
[59:19] 繼續我上一個專案沒有做完的事情
[59:22] 大家能夠理解嗎而我做我新對話之後
[59:25] 你看我只用了42.5k的對話
[59:30] 我的上下文用掉很少
[59:32] 然後我我就可以用很聰明很乾淨的上下文
[59:39] 接下來去做接下來的專案內容
[59:41] 所以我們在做claude code 的時候
[59:46] 你做新專案原則上我們都是這樣子工作的
[59:49] 我老實跟大家說我之前我也不知道
[59:52] 我是這一段時間我自己用發現說
[59:55] 哦原來是這樣子哦原來是這樣子
[59:58] 當然有的高手有的高手他不見得會跟我一樣
[01:00:05] 他可能會用別的方式但大原則是
[01:00:07] 大家都在做同樣的事情只是大家方法不同
[01:00:10] 那我提供我的方法我的方法不見得是最好的
[01:00:13] 好來接下來我要收尾了
[01:00:17] 抱歉今天直播delay了我要收尾
[01:00:20] 我要收尾是我這段我已經做完了
[01:00:23] 我現在給大家看一下我的成果是什麼
[01:00:25] 這是我的成果這是我的成果
[01:00:28] 我已經實力在課堂上操作過了
[01:00:31] 我跟你講我做東西都是玩真的
[01:00:34] 我已經讓學生玩過了
[01:00:36] 所以我就是玩一個座標軍艦棋
[01:00:39] 那座標軍艦棋的話我就可以
[01:00:41] 我先不講這個怎麼玩
[01:00:44] 它就是還是講一下怎麼玩
[01:00:47] 它是說我現在有房間列表這房間是我開
[01:00:52] 我可以開房間玩家可以加入房間
[01:00:55] 比如說我現在點進來我這房間號碼
[01:00:58] 比如說我是71533號好加入
[01:01:03] 然後我加入之後我可以去佈置我的戰艦
[01:01:08] 然後完成放船之後開始對戰
[01:01:11] 接下來我的另外一個學生他也要加這個
[01:01:16] 他也要加這個房間列表
[01:01:21] 你看我房間列表的話這邊是不是有一個7533號
[01:01:24] 已經在這房間裡面然後我另外一個學生
[01:01:26] 然後我加入等一下我等一下
[01:01:33] 我要用這個佈置連結開一個新的
[01:01:41] 開一個無痕來加入然後7538號
[01:01:52] 好各位我能夠做到這件事情是因為我有firebase
[01:01:57] 像這些東西就是我用
[01:02:00] firebase去做我在課堂上
[01:02:04] 兩個玩家可以加入同一個
[01:02:06] 房間對戰，他可以加入同一個
[01:02:08] 房間對戰，他是這樣子對戰的。
[01:02:10] 來，左邊是33號，右邊是38號
[01:02:16] 開始對戰，放船階段我這邊
[01:02:22] 還沒放嗎？這裡放完了，像這樣
[01:02:26] 比如說輪到我攻擊了，輪到我
[01:02:31] 攻擊了，我這邊可以輸入方程式
[01:02:34] 攻擊2X2X加Y等於3，然後開火，
[01:02:40] 然後我就打，打的話你看到嗎？
[01:02:42] 這是我的畫面，這是我的船。
[01:02:44] 我不曉得對手的棋盤放哪邊，
[01:02:48] 右邊是我的對手，你看我打中
[01:02:51] 了一顆，各位你有firebase你就
[01:02:56] 可以做到線上對戰的遊戲。
[01:02:58] 你知道這東西，你有firebase
[01:03:01] 你就可以做到無限可能的遊戲
[01:03:04] 跟應用程式，所有使用者的資料
[01:03:08] 你都可以操控，全部放在firebase
[01:03:10] 上面，操控很簡單，你只要
[01:03:12] 跟clock講話，我就做出來這個
[01:03:16] 對戰遊戲，這遊戲真的超級厲害。
[01:03:20] 真正厲害的是什麼你知道嗎？
[01:03:22] 那你全部做完之後，我這邊是
[01:03:26] 可以開房間，我這邊是可以開房間。
[01:03:28] 所以你看我這邊也可以QR code，
[01:03:33] 我可以把所有的每一個QR code
[01:03:36] 列印下來，然後我可以一鍵
[01:03:41] 清除房間，現在回大廳排行榜。
[01:03:45] 我有設定規則，今天我全班30個人
[01:03:49] 在玩，我兩人對戰，贏的那個人
[01:03:52] 今天是不同組，贏的人我可以
[01:03:54] 全班有排行榜，大家對戰。
[01:03:57] 但是我全班可以有排行榜，各位
[01:03:59] 你有firebase你就可以做排行榜，
[01:04:02] 你知道嗎？所以你一定要去串
[01:04:05] firebase，你做的程式才能夠有
[01:04:07] 無限可能，而所有的玩家的資料
[01:04:12] 學生的資料全部放在firebase。
[01:04:15] 所以我可以使用claude code去把
[01:04:17] 所有玩家的資料全部叫出來，
[01:04:19] 你幫我看一下誰用方程式用最多的。
[01:04:23] 所以我用這個app，學生在做這個
[01:04:29] 遊戲操作的時候，就是掃QR code，
[01:04:32] 兩個人就可以對戰，在教室裡面
[01:04:34] 對戰，他不可以讓別人看到他
[01:04:36] 佔盡擺放的位置，在那邊打。
[01:04:38] 這是我學生遊玩的結果，這真的
[01:04:42] 很好玩，好厲害是什麼你知道嗎？
[01:04:45] 我先給大家示範，你們知道最新的
[01:04:51] claudedesign嗎？來，各位我在
[01:04:55] claude design裡面，我把座標
[01:04:58] 軍艦旗的這個網頁把它優化美化了。
[01:05:04] 各位你有看到嗎？哇塞，這個
[01:05:08] 太強了吧，老師控制台有沒有
[01:05:12] 看到排行榜，學習分析，最長的
[01:05:17] 防線，你們有沒有發現這個頁面
[01:05:21] 也太漂亮了吧？好，我設計好，
[01:05:24] 各位我現在要直接優化我的軍艦旗
[01:05:29] 給大家看，所以我在claude design裡面
[01:05:32] 我告訴他說我的github是這樣，
[01:05:35] 所以我軍艦旗我已經先做好了，
[01:05:37] 然後我就直接在我的claude design裡面
[01:05:42] 去我的github裡面去看我的軍艦旗，
[01:05:44] 那他就真的去找到軍艦旗來幫我
[01:05:46] 優化，幫我優化，他現在就幫我
[01:05:48] 優化成這樣。接下來呢，我只要
[01:05:50] 做什麼事情，我現在優化完之後，
[01:05:52] 在這邊有一個export，然後這邊
[01:05:54] 有一個hand off to claude code，
[01:05:58] 這邊好點，他接下來他就會有一個
[01:06:03] 程式，然後呢，接下來我只要
[01:06:07] copy command，回到claude code裡面來。
[01:06:12] 我現在這個專案就是我的那個
[01:06:15] 軍艦旗，然後我只要把這個東西
[01:06:18] 貼給他，跟他說請按照這個架構
[01:06:22] 幫我優化我的軍艦旗遊戲。
[01:06:26] 接下來我也不知道會怎樣，我就
[01:06:36] 讓他跑跑看，可以玩，可以玩，
[01:06:39] 我等一下可以讓你們試玩，沒有問題。
[01:06:45] 但是因為firebase這條故事建在我身上，
[01:06:48] 我沒辦法給太多人玩，就是會
[01:06:50] 全部吃掉我資料庫的額度，但
[01:06:53] 是給五個班、十個班玩是沒有問題，
[01:06:55] 給個三十個房間都是沒有問題。
[01:06:58] 所以從現在開始，你完完全全
[01:07:00] 就是可以自己製作所有可以線上
[01:07:05] 對戰，可以所有儲存紀錄，所有
[01:07:08] IRS互動，所有的工具你通通可以
[01:07:13] 自己寫，只要你學會我今天直播
[01:07:17] 影片的內容，如何從零開始打造
[01:07:21] 一個新的專案，打造一個新的專案。
[01:07:24] 然後現在新出的claude design，他可以
[01:07:28] 幫你把你做好專案優化成剛剛那個樣子。
[01:07:33] 好，所以他這邊就讀完了，
[01:07:37] 看一下設計完的規範，決定實作方式。
[01:07:40] 因為claude code很聰明，所以就讓他
[01:07:43] 去做好，以上是今天影片直播影片的
[01:07:48] 全部內容，有沒有什麼問題在聊天室
[01:07:51] 直接回答，那我們在這個他做好
[01:07:54] 網站前，我就是回答大家的問題。
[01:07:58] 大家有聽懂我今天講什麼，今天的
[01:08:03] 內容非常的難。
[01:08:07] 如果你聽不懂是正常的
[01:08:09] 好不好如果你沒有在用
[01:08:11] claude code的話你聽不懂
[01:08:13] 是正常的但是如果你想要
[01:08:16] 變成進階使用者今天的內容
[01:08:19] 你一定要重複的去觀看
[01:08:21] 你操作完一段時間你再看
[01:08:23] 我今天講的內容你就會知道
[01:08:25] 為什麼我要這麼做那當然
[01:08:27] 我的做法不見得是最好的做法
[01:08:28] 因為我自己也是小白我也還在學習
[01:08:32] 所以我只是把我學到今天為止
[01:08:35] 我自己踩過的坑累積的內容
[01:08:38] 收工skill收工skill在我的
[01:08:42] 我今天給的懶人包應該是有的
[01:08:48] 收工他實際上就是幫你做好
[01:08:50] 這些事情claude.mdtoken的話
[01:08:55] 還好不太會爆給大家看一下
[01:09:04] 我使用的就是4.7100萬上下文
[01:09:10] 你看嘛你看我已經算是
[01:09:13] 我已經算是蠻常用的你上下文
[01:09:19] 控制好對打收工就可以了
[01:09:22] 打收工他就會自動幫你把那些
[01:09:24] obsidian claude.md該commit
[01:09:27] 該push的他就會把你全部弄好
[01:09:35] 好所以我們讓他好你看喔
[01:09:43] 他自動幫我做這些事情
[01:09:46] 反正你就讓他自言自語吧
[01:09:49] 然後上下文還好啦100萬還很多
[01:09:53] 所以大家看這個進度條就知道了
[01:09:56] 這個就是聰明好然後這個
[01:10:04] 我今天這個Database的專案呢
[01:10:08] 你如果要的話我也給大家
[01:10:10] 好不好來在這邊我Obsidian裡面
[01:10:13] 我在這裡齁在這裡老師專案工作流程
[01:10:18] 在把這東西我覺得我覺得好難哦
[01:10:31] 我覺得好難我覺得好難哦
[01:10:36] 因為你光是要弄這些東西
[01:10:39] 我都覺得好難哦來所有的Repo
[01:10:42] 好不好所有Repo我今天這個專案的Repo
[01:10:46] 好不好哎呀大方送啦這個Database
[01:10:53] 專案的Repo給大家了你請AI去讀
[01:10:56] 這個內容吧嗯你他哎你請claude
[01:11:01] 去讀這個內容今天我所有
[01:11:04] 我所有講的內容全部在裡面
[01:11:06] 好來我們在等待他做的同時
[01:11:13] 來大家我覺得還是要給大家
[01:11:18] 寫一下回饋好不好等我一下
[01:11:20] 等我一下你聽不懂還是要寫下
[01:11:22] 回饋今天的東西很難啊真的很難
[01:11:27] 我覺得好難今天是0419從零開始
[01:11:42] 打造你的第一個專案所以我覺得
[01:11:52] 今天的內容應該是嗯應該是有
[01:11:55] 有幫助到老師因為我覺得很多老師
[01:11:57] 是你不知道怎麼樣從零開始去
[01:12:00] 打造你的專案的來請大家幫我填一下
[01:12:09] 吧來請大家填一下回饋吧
[01:12:19] 那我們現在正在等待我們的軍艦旗
[01:12:23] 嗯所以對你今天就是你按照
[01:12:27] 我今天直播的內容去從零開始
[01:12:29] 打造你的專案要不然你會像
[01:12:32] 像這個有的老師在做你如果
[01:12:33] 沒有像我這樣的話你的資料夾
[01:12:36] 就會一團亂你做一個專案就出現
[01:12:38] 一個資料夾做一個專案就出現
[01:12:40] 一個資料夾沒有你不應該這麼做
[01:12:41] 你應該像我這麼做你在Google雲端
[01:12:44] 點新建一個資料夾呃2026什麼
[01:12:46] 什麼什麼什麼然後接下來空的
[01:12:49] 然後接下來去你的claude裡面
[01:12:51] 開一個new session選擇這個資料夾
[01:12:53] 然後跟他講說專案初始化
[01:12:56] 接下來所有的事情就會開始
[01:12:59] 漸漸的上軌道然後我今天給的repo
[01:13:03] 我給兩個repo一個是懶人包
[01:13:04] 一個是我今天這個今天我所有
[01:13:07] 直播內容的專案的的repo全部
[01:13:11] 我也給大家你只要請AI去讀
[01:13:14] 這個內容AI就會學會我今天
[01:13:17] 教大家的所有事情你只要問他
[01:13:19] 就可以了好所有的repo我會放在
[01:13:23] 這個直播影片下方說明欄那如果
[01:13:26] 你還是不了解的話你把這個影片
[01:13:28] 的字幕丟給AI然後去問他就好了
[01:13:33] 可以都可以都可以你那個老師
[01:13:35] 建專案指南點MD你可以你可以
[01:13:38] 你可以把老師建專案指南點MD
[01:13:40] 直接給他也可以你就直接把那個
[01:13:43] 老師建專案指南就是我剛剛的
[01:13:45] 這個這個檔案了那個老師建專案
[01:13:47] 指南就是這個檔案就是這個檔案
[01:13:50] 就是這個檔案你直接丟給claude code
[01:13:55] 就擁有今天所有的內容了我今天的
[01:13:58] 所有內容全部就是這個這個檔案
[01:14:00] 你們就用我這份筆記你們就把
[01:14:03] 我的智慧就拿走了謝謝斗內
[01:14:06] 謝謝斗內謝謝斗內對沒有錯
[01:14:14] 其他工作通用因為你的專案
[01:14:15] 你不一定是寫程式你所有的
[01:14:19] 你一個工作就是一個專案嗎
[01:14:21] 你其他工作你要做什麼事情
[01:14:22] 原則上是通用的那因為我的本質
[01:14:25] 是老師所以我原則上就是做
[01:14:26] 教學的應用程式或是教學的內容
[01:14:29] 你要做別的工作也是沒有問題的
[01:14:31] 你你的本質也許不是老師
[01:14:33] 你拿去你的工作使用也是沒有問題的
[01:14:37] 好接下來我們看一下做好了沒有
[01:14:45] 我的claude code 做好了沒有
[01:14:48] 好完成了嗎ok 好 okok
[01:14:58] 所以我要先怎麼樣下步哦
[01:15:05] ok 下步好那就 ok
[01:15:07] 啊他他就幫我做好了
[01:15:10] 我們等一下看看是不是真的可以做
[01:15:12] 哈哈哈哈我不知道哎
[01:15:14] 我特別留下來直播的時候做
[01:15:17] 就是這個這個 claude design哦
[01:15:20] 我覺得我覺得應該蠻好用的吧
[01:15:23] 我還沒有研究了因為最近更新太多東西
[01:15:25] canva 也更新然後那 claude design 也更新
[01:15:28] 就大家都更新我說實在話
[01:15:30] 我平常我也很忙啊
[01:15:31] 我也沒有辦法追到最新的更新
[01:15:34] 所以我今天直播我就是把我最近在做
[01:15:37] 這個專案的管理的心得拍成影片
[01:15:41] 那這部片本來就是我我要拍的
[01:15:43] 大家你們今天看到的內容
[01:15:46] 是我跟 ai 不知道對話幾百次之後
[01:15:49] 所整理出來的內容
[01:15:51] 你一個人要產生這些東西
[01:15:54] 我覺得真的是蠻難的
[01:15:55] 我真的覺得很難哦
[01:15:56] 感謝那個chou huichun 感謝你 donate
[01:16:02] 好你能夠看到這邊我覺得你很棒
[01:16:08] 你很了不起哈哈哈哈
[01:16:10] 我覺得能夠直播在線上直播
[01:16:14] 看到這裡的我覺得你很棒
[01:16:16] 你很了不起真的
[01:16:17] 好部署完成了
[01:16:18] 我們等一下來看一下我的金劍奇優化版的
[01:16:22] 到底行不行呢
[01:16:23] 我們等下看完金劍奇我們就下播了
[01:16:26] 我們就下播了部署完成現在 commit
[01:16:30] 好所以我們看一下我們現在 token
[01:16:41] 來也不過用掉這樣而已啊
[01:16:44] 你們看到哦部署完成了哦
[01:16:46] 我來試試看哦你看哦
[01:16:50] 來我們來看看哦
[01:16:52] 哎我不知道會不會成功
[01:16:57] 我先講我不知道好我們點開哦
[01:16:58] 哈哈哈哈哇完成了哦
[01:17:02] 頁面還是有些問題了
[01:17:08] 還是有些問題了但是整個整個
[01:17:10] 已經已經大改了
[01:17:11] 哇看一下房間列表哦好讚哦
[01:17:14] qr code啊 qr code 是沒有沒有的
[01:17:22] 來再來我看一下回大廳建立房間
[01:17:24] 批量加入現有房間我看房間裡吧
[01:17:29] 我來看一下遊玩的資料哦
[01:17:31] 讚讚讚讚讚讚讚
[01:17:37] 哇整個優化嘞大家讚可以玩嘞
[01:17:42] 可以玩嘞哦現在等待對手攻擊啊
[01:17:47] 哇可是奧迪賽也太讚了吧
[01:17:50] 我的整個網站被優化嘞
[01:17:51] 可是奧迪賽在這裡在這裡去要去雲端
[01:17:55] 雲端在這裡在這地方雲端的
[01:17:59] 他是雲端的哦claude code 月費
[01:18:02] 我現在是100100美來在這邊
[01:18:04] 你要去雲端的 claude 在左邊
[01:18:08] 在這裡雲端不是 claude code 桌面版
[01:18:12] 不是 claude code 桌面版是雲端
[01:18:14] 雲端版本就是 claude code 的網頁版
[01:18:18] 在左邊會會有個 design哦
[01:18:21] claude design這 claude design
[01:18:22] 就是專門幫你優化那個版面介面的
[01:18:28] 好不好哇你看大家看到沒有
[01:18:31] 我的軍艦旗被優化了啦超讚的啦
[01:18:34] 好了感謝大家今天直播參與
[01:18:38] 哇太難了我覺得太難了太難了
[01:18:43] 好了我們今天到這邊已經已經延後20分鐘了
[01:18:48] 軍艦旗完成了太讚了太讚了
[01:18:54] 這邊頁面還在修了
[01:18:56] 好接下來呢我就跟他講說收工
[01:18:59] 來最後沒收然後他就會幫我做事情
[01:19:05] 哎各位你們對話完
[01:19:09] 你千萬不能這樣放著哦
[01:19:10] 你千萬不能放著就走掉
[01:19:12] 因為放著就走掉的話
[01:19:13] 一個小時後他這個記憶就會清空
[01:19:14] 你下次再跟他講話
[01:19:16] 他會把全部記憶再全部載入一次
[01:19:18] 所以原則上我們在做事情的時候
[01:19:20] 就是你做完一輪比如說我等下要休息了
[01:19:22] 我就會打收工那收工我已經寫好
[01:19:25] 寫好了所以他就會幫我做這些事情
[01:19:27] 更新 claude md然後同步到 rbc 點點去
[01:19:30] 這樣子ok 嗎好不好
[01:19:34] 那我所有的我的專案管理的這個工作流程
[01:19:38] 已經全部公開給大家
[01:19:40] 大家你只要照著做
[01:19:41] 你拿我的東西去改成你的
[01:19:44] 你一定可以更你一定可以更更厲害
[01:19:48] 那至於高手的話你就不用看我的做法了啦
[01:19:51] 好不好 ok 好來大家看到嗎
[01:19:54] 有沒有看到我們就是這樣子工作的哦
[01:19:58] 我們就是這樣子工作的
[01:19:59] 以上就是今天claude Code的從零開始
[01:20:06] 新手從零開始打造你的專案
[01:20:09] 使用claude Code來去寫我們的教學APP
[01:20:12] 我們今天的直播就到這邊囉
[01:20:15] 大家晚安掰掰
