[00:02] 哈囉 大家好 今天的主題是長出來的技能才是你的技能
[00:08] 以我的觀點來去跟大家分享一下
[01:04:43] 我沒有買過啦。
[01:04:43] 但外面賣Claude Code 跟Codex 的教學課程應該都是非常
[01:04:49] 貴的。
[01:04:49] 我是沒有買啦。
[01:04:51] 我提供的免費課程全部都是我自己嘗試錯誤的
[01:04:57] 心得分享。
[01:04:58] 可能不是很專業啦。
[01:04:59] 大家就好好的去閱讀、
[01:05:04] 學習。
[01:05:05] 那你一定可以做的比我還要好。
[01:05:07] 因為我所有的東西都公開給大家
[01:05:09] 了。平常有什麼問題可以跟我聯絡請教?
[01:05:11] 沒有辦法,因為我的時間也是非常寶貴的。
[01:05:16] 所以平常我也不太能夠回覆大家的問題。
[01:05:19] 所以比如說今天直播你們上來幫忙點個讚、
[01:05:23] 點個分享、點個愛心。
[01:05:25] 或是幫忙留言、
[01:05:29] 幫忙填回饋。
[01:05:30] 我覺得對我就是最好的回饋啦。
[01:05:36] 真的很佛心 我這課程我相信沒有比外面賣的差啦
[01:05:40] 好不好好啦 就這樣啦 我們今天就到這邊啦這個
[01:05:47] 西傅 我跟你講 你不要覺得我都在用
[01:05:51] AI來 你自己看一下 我其實沒什麼在用
[01:05:55] 我其實沒什麼在用我覺得你們可能誤會我了我使用
[01:05:59] AI的時間沒有大家想上那麼多 我就是該用的時候用
[01:06:03] 但是我在用的時候我就是會不斷思考要怎麼樣去優化。
[01:06:07] 所以實際上我並沒有很常用AI。
[01:06:09] 你自己看一下,我的用量只有這樣而已。
[01:06:12] 然後剪影片的話,花最多時間是錄影片。
[01:06:16] 剪跟上字幕是很快的,因為AI都會幫我做好。
[01:06:19] 所以其實大家也不用覺得說我好像花很多時間在做這些,
[01:06:23] 其實沒有啦。
[01:06:24] 拍影片跟剪影片真的是一下子的事情而已。
[01:06:28] 重點是,你這些內容是真的是要靠,
[01:06:32] 靠這個產出,好不好?
[01:06:35] 靠你這個真的去使用過的產出,
[01:06:39] 這樣子。OK?
[01:06:40] 所以大家也不要誤會說我24小時要用AI跟簡便其實沒有
[01:06:44] 啦,好不好?
[01:06:46] 該去打球、該去追劇、
[01:06:48] 該去陪家人的時候我都有去啦,
[01:06:50] 大家就是你們也該去做這些事情。
[01:06:54] 大家看以此為證,
[01:06:58] 以此為證,我沒有很常用AI,
[01:07:01] 以此為證,OK嗎?
[01:07:03] 你看我用這麼少,半死而已而已,
[01:07:07] 對吧?
[01:07:08] 但是就是要有效率。
[01:07:14] 就這樣啦,那就下期再見囉,
[01:07:17] 大家晚安,掰掰
